vowels,lyrics
<bos> a oua <eos>,<bos> た 僕ら <eos>
<bos> oua o <eos>,<bos> 僕ら の <eos>
<bos> o oe <eos>,<bos> の 声 <eos>
<bos> oe a <eos>,<bos> 声 が <eos>
<bos> a ou <eos>,<bos> が 遠く <eos>
<bos> ou ou <eos>,<bos> 遠く 遠く <eos>
<bos> ou ae <eos>,<bos> 遠く まで <eos>
<bos> ae ooi <eos>,<bos> まで 届い <eos>
<bos> ooi aa <eos>,<bos> 届い たら <eos>
<bos> aa ii <eos>,<bos> たら いい <eos>
<bos> ii a <eos>,<bos> いい な <eos>
<bos> a ae <eos>,<bos> な 誰 <eos>
<bos> ae o <eos>,<bos> 誰 も <eos>
<bos> o i <eos>,<bos> も い <eos>
<bos> i ai <eos>,<bos> い ない <eos>
<bos> ai iai <eos>,<bos> ない 未来 <eos>
<bos> iai e <eos>,<bos> 未来 で <eos>
<bos> e oi <eos>,<bos> で 起き <eos>
<bos> oi a <eos>,<bos> 起き た <eos>
<bos> a ou <eos>,<bos> た 呼吸 <eos>
<bos> ou a <eos>,<bos> 呼吸 が <eos>
<bos> a oua <eos>,<bos> が 僕ら <eos>
<bos> oua o <eos>,<bos> 僕ら を <eos>
<bos> o ooe <eos>,<bos> を 覚え <eos>
<bos> ooe e <eos>,<bos> 覚え て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i au <eos>,<bos> い ます <eos>
<bos> au o <eos>,<bos> ます よう <eos>
<bos> o i <eos>,<bos> よう に <eos>
<bos> i auiu <eos>,<bos> に 眩しく <eos>
<bos> auiu e <eos>,<bos> 眩しく て <eos>
<bos> e a <eos>,<bos> て さ <eos>
<bos> a e <eos>,<bos> さ 目 <eos>
<bos> e o <eos>,<bos> 目 を <eos>
<bos> o oi <eos>,<bos> を 閉じ <eos>
<bos> oi a <eos>,<bos> 閉じ た <eos>
<bos> a n <eos>,<bos> た ん <eos>
<bos> n a <eos>,<bos> ん だ <eos>
<bos> a ae <eos>,<bos> だ 枯れ <eos>
<bos> ae a <eos>,<bos> 枯れ た <eos>
<bos> a aa <eos>,<bos> た 川 <eos>
<bos> aa o <eos>,<bos> 川 を <eos>
<bos> o aoi <eos>,<bos> を 辿り <eos>
<bos> aoi aaa <eos>,<bos> 辿り ながら <eos>
<bos> ui a <eos>,<bos> 好き な <eos>
<bos> a oo <eos>,<bos> な こと <eos>
<bos> oo a <eos>,<bos> こと が <eos>
<bos> a uuau <eos>,<bos> が 少なく <eos>
<bos> uuau ai <eos>,<bos> 少なく なり <eos>
<bos> ai iai <eos>,<bos> なり 嫌い <eos>
<bos> iai a <eos>,<bos> 嫌い な <eos>
<bos> a oo <eos>,<bos> な こと <eos>
<bos> oo a <eos>,<bos> こと が <eos>
<bos> a auan <eos>,<bos> が 沢山 <eos>
<bos> auan ue <eos>,<bos> 沢山 増え <eos>
<bos> ue a <eos>,<bos> 増え た <eos>
<bos> a ao <eos>,<bos> た 窓 <eos>
<bos> ao i <eos>,<bos> 窓 に <eos>
<bos> i iiu <eos>,<bos> に 滲む <eos>
<bos> iiu uo <eos>,<bos> 滲む 雲 <eos>
<bos> uo o <eos>,<bos> 雲 を <eos>
<bos> o i <eos>,<bos> を 見 <eos>
<bos> i e <eos>,<bos> 見 て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a ia <eos>,<bos> た 皆 <eos>
<bos> ia o <eos>,<bos> 皆 の <eos>
<bos> o eaa <eos>,<bos> の 背中 <eos>
<bos> eaa o <eos>,<bos> 背中 を <eos>
<bos> o i <eos>,<bos> を 見 <eos>
<bos> i e <eos>,<bos> 見 て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a ii <eos>,<bos> た 言い <eos>
<bos> ii ai <eos>,<bos> 言い たい <eos>
<bos> ai oo <eos>,<bos> たい こと <eos>
<bos> oo a <eos>,<bos> こと が <eos>
<bos> a anan <eos>,<bos> が だんだん <eos>
<bos> anan ue <eos>,<bos> だんだん 増え <eos>
<bos> ue e <eos>,<bos> 増え て <eos>
<bos> e ie <eos>,<bos> て 言え <eos>
<bos> ie ai <eos>,<bos> 言え ない <eos>
<bos> ai oo <eos>,<bos> ない こと <eos>
<bos> oo a <eos>,<bos> こと が <eos>
<bos> a auan <eos>,<bos> が 沢山 <eos>
<bos> auan ue <eos>,<bos> 沢山 増え <eos>
<bos> ue a <eos>,<bos> 増え た <eos>
<bos> a oa <eos>,<bos> た 空 <eos>
<bos> oa a <eos>,<bos> 空 が <eos>
<bos> a iou <eos>,<bos> が 濁る <eos>
<bos> iou oo <eos>,<bos> 濁る 頃 <eos>
<bos> oo i <eos>,<bos> 頃 に <eos>
<bos> i i <eos>,<bos> に 見 <eos>
<bos> i e <eos>,<bos> 見 て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a ou <eos>,<bos> た 夜 <eos>
<bos> ou i <eos>,<bos> 夜 に <eos>
<bos> i ao <eos>,<bos> に なろ <eos>
<bos> ao u <eos>,<bos> なろ う <eos>
<bos> u o <eos>,<bos> う と <eos>
<bos> o uu <eos>,<bos> と する <eos>
<bos> uu aai <eos>,<bos> する ばかり <eos>
<bos> oo i <eos>,<bos> 何処 に <eos>
<bos> i o <eos>,<bos> に も <eos>
<bos> o ie <eos>,<bos> も 行け <eos>
<bos> ie ai <eos>,<bos> 行け ない <eos>
<bos> ai aai <eos>,<bos> ない 私 <eos>
<bos> aai o <eos>,<bos> 私 を <eos>
<bos> o o <eos>,<bos> を どう <eos>
<bos> o uu <eos>,<bos> どう する <eos>
<bos> eai i <eos>,<bos> 眩暈 に <eos>
<bos> i ooe <eos>,<bos> に 溺れ <eos>
<bos> ooe e <eos>,<bos> 溺れ て <eos>
<bos> e ue <eos>,<bos> て 夢 <eos>
<bos> ue o <eos>,<bos> 夢 を <eos>
<bos> o i <eos>,<bos> を 見 <eos>
<bos> i e <eos>,<bos> 見 て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a auuu <eos>,<bos> た 白昼夢 <eos>
<bos> auuu i <eos>,<bos> 白昼夢 に <eos>
<bos> i uee <eos>,<bos> に 全て <eos>
<bos> uee o <eos>,<bos> 全て を <eos>
<bos> o oion <eos>,<bos> を 押し込ん <eos>
<bos> oion e <eos>,<bos> 押し込ん で <eos>
<bos> ooia o <eos>,<bos> 踊り場 の <eos>
<bos> o ao <eos>,<bos> の 窓 <eos>
<bos> ao aa <eos>,<bos> 窓 から <eos>
<bos> aa ioai <eos>,<bos> から 人並み <eos>
<bos> ioai aa <eos>,<bos> 人並み から <eos>
<bos> aa aae <eos>,<bos> から 眺め <eos>
<bos> aae e <eos>,<bos> 眺め て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a oua <eos>,<bos> た 僕ら <eos>
<bos> oua a <eos>,<bos> 僕ら は <eos>
<bos> a oo <eos>,<bos> は どこ <eos>
<bos> oo e <eos>,<bos> どこ へ <eos>
<bos> e io <eos>,<bos> へ 行こ <eos>
<bos> io u <eos>,<bos> 行こ う <eos>
<bos> u a <eos>,<bos> う か <eos>
<bos> a aian <eos>,<bos> か 階段 <eos>
<bos> aian o <eos>,<bos> 階段 の <eos>
<bos> o ou <eos>,<bos> の 途中 <eos>
<bos> ou e <eos>,<bos> 途中 で <eos>
<bos> e uaia <eos>,<bos> で 不確か <eos>
<bos> uaia a <eos>,<bos> 不確か な <eos>
<bos> a ooa <eos>,<bos> な 言葉 <eos>
<bos> ooa o <eos>,<bos> 言葉 を <eos>
<bos> o auae <eos>,<bos> を 携え <eos>
<bos> auae e <eos>,<bos> 携え て <eos>
<bos> e ou <eos>,<bos> て 呼吸 <eos>
<bos> ou o <eos>,<bos> 呼吸 を <eos>
<bos> o ooe <eos>,<bos> を 揃え <eos>
<bos> ooe e <eos>,<bos> 揃え て <eos>
<bos> e aie <eos>,<bos> て 初め <eos>
<bos> aie aie <eos>,<bos> 初め まして <eos>
<bos> aie on <eos>,<bos> まして そん <eos>
<bos> on e <eos>,<bos> そん で <eos>
<bos> e aia <eos>,<bos> で 愛さ <eos>
<bos> aia e <eos>,<bos> 愛さ れ <eos>
<bos> e a <eos>,<bos> れ た <eos>
<bos> a o <eos>,<bos> た の <eos>
<bos> o aa <eos>,<bos> の なら <eos>
<bos> aa ai <eos>,<bos> なら 大 <eos>
<bos> ai anei <eos>,<bos> 大 歓迎 <eos>
<bos> anei uiaei <eos>,<bos> 歓迎 繰り返し <eos>
<bos> uiaei uae <eos>,<bos> 繰り返し 向かえ <eos>
<bos> uae ou <eos>,<bos> 向かえ 遠く <eos>
<bos> ou uo <eos>,<bos> 遠く 向こう <eos>
<bos> uo e <eos>,<bos> 向こう へ <eos>
<bos> e etou <eos>,<bos> へ 結局 <eos>
<bos> etou oua <eos>,<bos> 結局 僕ら <eos>
<bos> oua a <eos>,<bos> 僕ら は <eos>
<bos> a a <eos>,<bos> は さ <eos>
<bos> a aioo <eos>,<bos> さ 何者 <eos>
<bos> aioo i <eos>,<bos> 何者 に <eos>
<bos> i au <eos>,<bos> に なる <eos>
<bos> au o <eos>,<bos> なる の <eos>
<bos> o a <eos>,<bos> の か <eos>
<bos> a a <eos>,<bos> か な <eos>
<bos> a aoi <eos>,<bos> な 迷い <eos>
<bos> aoi iu <eos>,<bos> 迷い 犬 <eos>
<bos> iu iai <eos>,<bos> 犬 みたい <eos>
<bos> iai e <eos>,<bos> みたい で <eos>
<bos> e i <eos>,<bos> で い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> ai a <eos>,<bos> 街 が <eos>
<bos> ueu ou <eos>,<bos> 濡れる 夜 <eos>
<bos> ou ae <eos>,<bos> 夜 まで <eos>
<bos> ae a <eos>,<bos> まで は <eos>
<bos> a aia <eos>,<bos> は 確か <eos>
<bos> aia i <eos>,<bos> 確か に <eos>
<bos> i oe <eos>,<bos> に 声 <eos>
<bos> oe e <eos>,<bos> 声 で <eos>
<bos> e aue <eos>,<bos> で 溢れ <eos>
<bos> aue e <eos>,<bos> 溢れ て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a ia <eos>,<bos> た 今 <eos>
<bos> ia e <eos>,<bos> 今 で <eos>
<bos> e a <eos>,<bos> で は <eos>
<bos> a ooo <eos>,<bos> は およそ <eos>
<bos> ooo aeaai <eos>,<bos> およそ 耐え難い <eos>
<bos> aeaai uai <eos>,<bos> 耐え難い くらい <eos>
<bos> uai o <eos>,<bos> くらい の <eos>
<bos> o iuea <eos>,<bos> の 静けさ <eos>
<bos> iuea ai <eos>,<bos> 静けさ 達 <eos>
<bos> ai a <eos>,<bos> 達 が <eos>
<bos> a oo <eos>,<bos> が ここ <eos>
<bos> oo i <eos>,<bos> ここ に <eos>
<bos> i i <eos>,<bos> に 居 <eos>
<bos> i a <eos>,<bos> 居 た <eos>
<bos> a uon <eos>,<bos> た 不遜 <eos>
<bos> uon a <eos>,<bos> 不遜 な <eos>
<bos> a ooo <eos>,<bos> な 心 <eos>
<bos> ooo aai <eos>,<bos> 心 ばかり <eos>
<bos> aai uou <eos>,<bos> ばかり 強く <eos>
<bos> uou au <eos>,<bos> 強く なる <eos>
<bos> au aai <eos>,<bos> なる 私 <eos>
<bos> aai i <eos>,<bos> 私 に <eos>
<bos> i ai <eos>,<bos> に 愛 <eos>
<bos> ai o <eos>,<bos> 愛 を <eos>
<bos> o uaai <eos>,<bos> を ください <eos>
<bos> uaai a <eos>,<bos> ください な <eos>
<bos> a ito <eos>,<bos> な いっとう <eos>
<bos> ito aae <eos>,<bos> いっとう 重ね <eos>
<bos> aae e <eos>,<bos> 重ね て <eos>
<bos> e aieu <eos>,<bos> て 弾ける <eos>
<bos> aieu oau <eos>,<bos> 弾ける 泡沫 <eos>
<bos> oau a <eos>,<bos> 泡沫 さ <eos>
<bos> ata a <eos>,<bos> 真赤 な <eos>
<bos> a ue <eos>,<bos> な 笛 <eos>
<bos> ue o <eos>,<bos> 笛 の <eos>
<bos> o oo <eos>,<bos> の 音 <eos>
<bos> oo aau <eos>,<bos> 音 はしゃぐ <eos>
<bos> aau ooo <eos>,<bos> はしゃぐ 子供 <eos>
<bos> ooo ai <eos>,<bos> 子供 たち <eos>
<bos> ai ou <eos>,<bos> たち 遠く <eos>
<bos> ou o <eos>,<bos> 遠く の <eos>
<bos> o o <eos>,<bos> の ほう <eos>
<bos> o e <eos>,<bos> ほう へ <eos>
<bos> e iu <eos>,<bos> へ 行く <eos>
<bos> iu o <eos>,<bos> 行く よう <eos>
<bos> o a <eos>,<bos> よう だ <eos>
<bos> a iaa <eos>,<bos> だ 俄 <eos>
<bos> iaa a <eos>,<bos> 俄 か <eos>
<bos> a i <eos>,<bos> か に <eos>
<bos> i ae <eos>,<bos> に 雨 <eos>
<bos> ae a <eos>,<bos> 雨 が <eos>
<bos> a uiau <eos>,<bos> が 降り出す <eos>
<bos> uiau iai <eos>,<bos> 降り出す みたい <eos>
<bos> iai i <eos>,<bos> みたい に <eos>
<bos> i oi <eos>,<bos> に 通り <eos>
<bos> oi uat <eos>,<bos> 通り すがっ <eos>
<bos> uat e <eos>,<bos> すがっ て <eos>
<bos> e ie <eos>,<bos> て 消え <eos>
<bos> ie e <eos>,<bos> 消え て <eos>
<bos> e it <eos>,<bos> て いっ <eos>
<bos> it a <eos>,<bos> いっ た <eos>
<bos> a ooo <eos>,<bos> た おどろ <eos>
<bos> ooo i <eos>,<bos> おどろ に <eos>
<bos> i ueu <eos>,<bos> に 揺れる <eos>
<bos> ueu ati <eos>,<bos> 揺れる マッチ <eos>
<bos> ati o <eos>,<bos> マッチ の <eos>
<bos> o aai <eos>,<bos> の 灯 <eos>
<bos> aai o <eos>,<bos> 灯 を <eos>
<bos> o aae <eos>,<bos> を 抱え <eos>
<bos> aae oaa <eos>,<bos> 抱え どうやら <eos>
<bos> oaa oeo <eos>,<bos> どうやら とても <eos>
<bos> oeo aaaau <eos>,<bos> とても 暖かく <eos>
<bos> aaaau ae <eos>,<bos> 暖かく 何故 <eos>
<bos> ae a <eos>,<bos> 何故 だ <eos>
<bos> a a <eos>,<bos> だ か <eos>
<bos> a ia <eos>,<bos> か 嫌 <eos>
<bos> ia i <eos>,<bos> 嫌 に <eos>
<bos> i iua <eos>,<bos> に 静か <eos>
<bos> iua e <eos>,<bos> 静か で <eos>
<bos> e uuai <eos>,<bos> で 煩い <eos>
<bos> uuai ooo <eos>,<bos> 煩い 心 <eos>
<bos> ooo iai <eos>,<bos> 心 満たし <eos>
<bos> iai e <eos>,<bos> 満たし て <eos>
<bos> e o <eos>,<bos> て よ <eos>
<bos> ae a <eos>,<bos> 誰 か <eos>
<bos> a a <eos>,<bos> か が <eos>
<bos> a iiu <eos>,<bos> が 歪 <eos>
<bos> iiu e <eos>,<bos> 歪 で <eos>
<bos> e au <eos>,<bos> で ある <eos>
<bos> au oo <eos>,<bos> ある こと <eos>
<bos> oo o <eos>,<bos> こと を <eos>
<bos> o ae <eos>,<bos> を 誰 <eos>
<bos> ae o <eos>,<bos> 誰 も <eos>
<bos> o a <eos>,<bos> も が <eos>
<bos> a uue <eos>,<bos> が 許せ <eos>
<bos> uue ai <eos>,<bos> 許せ ない <eos>
<bos> ai ao <eos>,<bos> ない 場所 <eos>
<bos> ao e <eos>,<bos> 場所 で <eos>
<bos> e ii <eos>,<bos> で 君 <eos>
<bos> ii a <eos>,<bos> 君 は <eos>
<bos> a ia <eos>,<bos> は 今 <eos>
<bos> ia oo <eos>,<bos> 今 どこ <eos>
<bos> oo i <eos>,<bos> どこ に <eos>
<bos> i o <eos>,<bos> に も <eos>
<bos> o ie <eos>,<bos> も 行け <eos>
<bos> ie ai <eos>,<bos> 行け ない <eos>
<bos> ai e <eos>,<bos> ない で <eos>
<bos> e ii <eos>,<bos> で 息 <eos>
<bos> ii o <eos>,<bos> 息 を <eos>
<bos> o ooi <eos>,<bos> を 殺し <eos>
<bos> ooi e <eos>,<bos> 殺し て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a n <eos>,<bos> た ん <eos>
<bos> n eo <eos>,<bos> ん でしょ <eos>
<bos> eo u <eos>,<bos> でしょ う <eos>
<bos> u onai <eos>,<bos> う どんなに <eos>
<bos> onai aaiae <eos>,<bos> どんなに 当たり前 <eos>
<bos> aaiae o <eos>,<bos> 当たり前 の <eos>
<bos> o oo <eos>,<bos> の こと <eos>
<bos> oo o <eos>,<bos> こと も <eos>
<bos> o ii <eos>,<bos> も 君 <eos>
<bos> ii o <eos>,<bos> 君 を <eos>
<bos> o uuie <eos>,<bos> を 苦しめ <eos>
<bos> uuie e <eos>,<bos> 苦しめ て <eos>
<bos> e iau <eos>,<bos> て しまう <eos>
<bos> iau aa <eos>,<bos> しまう から <eos>
<bos> aa iaua <eos>,<bos> から ひたすら <eos>
<bos> iaua uao <eos>,<bos> ひたすら 素直 <eos>
<bos> uao i <eos>,<bos> 素直 に <eos>
<bos> i ii <eos>,<bos> に 生き <eos>
<bos> ii e <eos>,<bos> 生き て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a oe <eos>,<bos> た それ <eos>
<bos> oe ae <eos>,<bos> それ だけ <eos>
<bos> ae o <eos>,<bos> だけ の <eos>
<bos> o oo <eos>,<bos> の こと <eos>
<bos> oo at <eos>,<bos> こと だっ <eos>
<bos> at a <eos>,<bos> だっ た <eos>
<bos> a oi <eos>,<bos> た のに <eos>
<bos> oi iae <eos>,<bos> のに いわれ <eos>
<bos> iae o <eos>,<bos> いわれ の <eos>
<bos> o ai <eos>,<bos> の ない <eos>
<bos> ai uaa <eos>,<bos> ない 噂 <eos>
<bos> uaa a <eos>,<bos> 噂 や <eos>
<bos> a eae <eos>,<bos> や 穢れ <eos>
<bos> eae it <eos>,<bos> 穢れ きっ <eos>
<bos> it a <eos>,<bos> きっ た <eos>
<bos> a ao <eos>,<bos> た あの <eos>
<bos> ao ooa <eos>,<bos> あの 言葉 <eos>
<bos> ooa i <eos>,<bos> 言葉 に <eos>
<bos> i aoaa <eos>,<bos> に 惑わさ <eos>
<bos> aoaa e <eos>,<bos> 惑わさ れ <eos>
<bos> e ai <eos>,<bos> れ ない <eos>
<bos> ai e <eos>,<bos> ない で <eos>
<bos> e oue <eos>,<bos> で おくれ <eos>
<bos> oue oe <eos>,<bos> おくれ それ <eos>
<bos> oe a <eos>,<bos> それ が <eos>
<bos> a eai <eos>,<bos> が 世界 <eos>
<bos> eai o <eos>,<bos> 世界 の <eos>
<bos> o uee <eos>,<bos> の 全て <eos>
<bos> uee a <eos>,<bos> 全て じゃ <eos>
<bos> a ai <eos>,<bos> じゃ ない <eos>
<bos> ioe e <eos>,<bos> 聴こえ て <eos>
<bos> e iu <eos>,<bos> て いる <eos>
<bos> iu eo <eos>,<bos> いつ でも <eos>
<bos> eo oo <eos>,<bos> でも ここ <eos>
<bos> oo i <eos>,<bos> ここ に <eos>
<bos> i oie <eos>,<bos> に おいで <eos>
<bos> oie o <eos>,<bos> おいで よ <eos>
<bos> o e <eos>,<bos> よ ね <eos>
<bos> e ona <eos>,<bos> ね そんな <eos>
<bos> ona ua <eos>,<bos> そんな 歌 <eos>
<bos> ua ooi <eos>,<bos> 歌 届い <eos>
<bos> ooi aa <eos>,<bos> 届い たら <eos>
<bos> aa ao <eos>,<bos> たら あと <eos>
<bos> ao a <eos>,<bos> あと は <eos>
<bos> a ii <eos>,<bos> は 君 <eos>
<bos> ii iai <eos>,<bos> 君 次第 <eos>
<bos> oo ai <eos>,<bos> この 街 <eos>
<bos> ai a <eos>,<bos> 街 は <eos>
<bos> a oo <eos>,<bos> は この <eos>
<bos> oo ai <eos>,<bos> この 街 <eos>
<bos> ai a <eos>,<bos> 街 は <eos>
<bos> a uae <eos>,<bos> は 生まれ <eos>
<bos> uae e <eos>,<bos> 生まれ て <eos>
<bos> e i <eos>,<bos> て き <eos>
<bos> i a <eos>,<bos> き た <eos>
<bos> a aa <eos>,<bos> た まま <eos>
<bos> aa e <eos>,<bos> まま で <eos>
<bos> e ii <eos>,<bos> で 意味 <eos>
<bos> ii o <eos>,<bos> 意味 も <eos>
<bos> o au <eos>,<bos> も なく <eos>
<bos> au aia <eos>,<bos> なく 愛さ <eos>
<bos> aia e <eos>,<bos> 愛さ れ <eos>
<bos> e ai <eos>,<bos> れ たい <eos>
<bos> ai aia <eos>,<bos> たい 愛さ <eos>
<bos> aia e <eos>,<bos> 愛さ れ <eos>
<bos> e ai <eos>,<bos> れ たい <eos>
<bos> ai ooa <eos>,<bos> たい そこら <eos>
<bos> ooa u <eos>,<bos> そこら じゅう <eos>
<bos> u i <eos>,<bos> じゅう に <eos>
<bos> i iaat <eos>,<bos> に 散らばっ <eos>
<bos> iaat a <eos>,<bos> 散らばっ た <eos>
<bos> a ue <eos>,<bos> た 夢 <eos>
<bos> ue o <eos>,<bos> 夢 の <eos>
<bos> o o <eos>,<bos> の よう <eos>
<bos> o i <eos>,<bos> よう に <eos>
<bos> aa iai <eos>,<bos> バカ みたい <eos>
<bos> iai a <eos>,<bos> みたい な <eos>
<bos> a ue <eos>,<bos> な 夢 <eos>
<bos> ue o <eos>,<bos> 夢 を <eos>
<bos> o aaa <eos>,<bos> を 笑わ <eos>
<bos> aaa ai <eos>,<bos> 笑わ ない <eos>
<bos> ai e <eos>,<bos> ない で <eos>
<bos> e ii <eos>,<bos> で 聞い <eos>
<bos> ii e <eos>,<bos> 聞い て <eos>
<bos> e oii <eos>,<bos> て ほしい <eos>
<bos> oii i <eos>,<bos> ほしい 日 <eos>
<bos> i a <eos>,<bos> 日 が <eos>
<bos> a ueu <eos>,<bos> が 暮れる <eos>
<bos> ueu ae <eos>,<bos> 暮れる 前 <eos>
<bos> ae i <eos>,<bos> 前 に <eos>
<bos> i aai <eos>,<bos> に 話し <eos>
<bos> aai e <eos>,<bos> 話し て <eos>
<bos> e oi <eos>,<bos> て おき <eos>
<bos> oi ai <eos>,<bos> おき たい <eos>
<bos> ai ii <eos>,<bos> たい 君 <eos>
<bos> ii iai <eos>,<bos> 君 みたい <eos>
<bos> iai i <eos>,<bos> みたい に <eos>
<bos> i aaiu <eos>,<bos> に 優しく <eos>
<bos> aaiu ai <eos>,<bos> 優しく なり <eos>
<bos> ai ai <eos>,<bos> なり たい <eos>
<bos> ai ae <eos>,<bos> たい だけ <eos>
<bos> ae iou <eos>,<bos> だけ 祈る <eos>
<bos> iou oe <eos>,<bos> 祈る 声 <eos>
<bos> oe a <eos>,<bos> 声 は <eos>
<bos> a aeiu <eos>,<bos> は 激しく <eos>
<bos> aeiu ao <eos>,<bos> 激しく あと <eos>
<bos> ao uoi <eos>,<bos> あと 少し <eos>
<bos> uoi ae <eos>,<bos> 少し だけ <eos>
<bos> ae ooo <eos>,<bos> だけ 心 <eos>
<bos> ooo o <eos>,<bos> 心 の <eos>
<bos> o oo <eos>,<bos> の 底 <eos>
<bos> oo aa <eos>,<bos> 底 から <eos>
<bos> aa ueau <eos>,<bos> から 触れ合う <eos>
<bos> ueau ae <eos>,<bos> 触れ合う まで <eos>
<bos> ae ii <eos>,<bos> まで 君 <eos>
<bos> ii o <eos>,<bos> 君 と <eos>
<bos> o uaat <eos>,<bos> と 繋がっ <eos>
<bos> uaat e <eos>,<bos> 繋がっ て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i ai <eos>,<bos> い たい <eos>
<bos> ai ae <eos>,<bos> たい だけ <eos>
<bos> ai o <eos>,<bos> 街 の <eos>
<bos> o anaa <eos>,<bos> の 真ん中 <eos>
<bos> anaa e <eos>,<bos> 真ん中 で <eos>
<bos> e ii <eos>,<bos> で 息 <eos>
<bos> ii o <eos>,<bos> 息 を <eos>
<bos> o ut <eos>,<bos> を 吸っ <eos>
<bos> ut a <eos>,<bos> 吸っ た <eos>
<bos> a aaa <eos>,<bos> た 魚 <eos>
<bos> aaa a <eos>,<bos> 魚 が <eos>
<bos> a ai <eos>,<bos> が 泣い <eos>
<bos> ai a <eos>,<bos> 泣い た <eos>
<bos> a uee <eos>,<bos> た 全て <eos>
<bos> uee aat <eos>,<bos> 全て 変わっ <eos>
<bos> aat e <eos>,<bos> 変わっ て <eos>
<bos> e iat <eos>,<bos> て しまっ <eos>
<bos> iat a <eos>,<bos> しまっ た <eos>
<bos> a ua <eos>,<bos> た 砂 <eos>
<bos> ua a <eos>,<bos> 砂 が <eos>
<bos> a oi <eos>,<bos> が 落ち <eos>
<bos> oi a <eos>,<bos> 落ち た <eos>
<bos> a eiau <eos>,<bos> た 生活 <eos>
<bos> eiau a <eos>,<bos> 生活 が <eos>
<bos> a oi <eos>,<bos> が 落ち <eos>
<bos> oi a <eos>,<bos> 落ち た <eos>
<bos> a oei <eos>,<bos> た 透明 <eos>
<bos> oei a <eos>,<bos> 透明 な <eos>
<bos> a aa <eos>,<bos> な 朝 <eos>
<bos> aa i <eos>,<bos> 朝 に <eos>
<bos> i ino <eos>,<bos> に 心像 <eos>
<bos> ino o <eos>,<bos> 心像 と <eos>
<bos> o ai <eos>,<bos> と 何 <eos>
<bos> ai e <eos>,<bos> 何 で <eos>
<bos> e o <eos>,<bos> で も <eos>
<bos> o ai <eos>,<bos> も ない <eos>
<bos> ai o <eos>,<bos> ない よう <eos>
<bos> o a <eos>,<bos> よう な <eos>
<bos> a oo <eos>,<bos> な 情操 <eos>
<bos> oo o <eos>,<bos> 情操 を <eos>
<bos> o ai <eos>,<bos> を 愛 <eos>
<bos> ai o <eos>,<bos> 愛 を <eos>
<bos> o ae <eos>,<bos> を 食べ <eos>
<bos> ae e <eos>,<bos> 食べ て <eos>
<bos> e uoe <eos>,<bos> て 動け <eos>
<bos> uoe ai <eos>,<bos> 動け ない <eos>
<bos> ai ii <eos>,<bos> ない 君 <eos>
<bos> ii e <eos>,<bos> 君 へ <eos>
<bos> e o <eos>,<bos> へ と <eos>
<bos> o oi <eos>,<bos> と 大き <eos>
<bos> oi uiu <eos>,<bos> 大き すぎる <eos>
<bos> uiu aai <eos>,<bos> すぎる 灯り <eos>
<bos> aai i <eos>,<bos> 灯り に <eos>
<bos> i ieaa <eos>,<bos> に 逃げ出さ <eos>
<bos> ieaa ai <eos>,<bos> 逃げ出さ ない <eos>
<bos> ai oui <eos>,<bos> ない 憔悴 <eos>
<bos> oui i <eos>,<bos> 憔悴 に <eos>
<bos> i aaaa <eos>,<bos> に 抗わ <eos>
<bos> aaaa ai <eos>,<bos> 抗わ ない <eos>
<bos> ai iio <eos>,<bos> ない 日常 <eos>
<bos> iio o <eos>,<bos> 日常 を <eos>
<bos> o aei <eos>,<bos> を 返し <eos>
<bos> aei ai <eos>,<bos> 返し たい <eos>
<bos> ai oo <eos>,<bos> たい その <eos>
<bos> oo enin <eos>,<bos> その 献身 <eos>
<bos> enin o <eos>,<bos> 献身 の <eos>
<bos> o ai <eos>,<bos> の 先 <eos>
<bos> ai e <eos>,<bos> 先 へ <eos>
<bos> e ooo <eos>,<bos> へ 心 <eos>
<bos> ooo a <eos>,<bos> 心 は <eos>
<bos> a iu <eos>,<bos> は 行く <eos>
<bos> iu uou <eos>,<bos> 行く 強く <eos>
<bos> uou oo <eos>,<bos> 強く その <eos>
<bos> oo eian <eos>,<bos> その 諦観 <eos>
<bos> eian o <eos>,<bos> 諦観 の <eos>
<bos> o ou <eos>,<bos> の 奥 <eos>
<bos> ou e <eos>,<bos> 奥 へ <eos>
<bos> e ooa <eos>,<bos> へ 言葉 <eos>
<bos> ooa a <eos>,<bos> 言葉 は <eos>
